start,end,start_station_no,start_station,end_station_no,end_station,bike_no,type
2017-11-15 10:16,2017-11-15 10:33,31244,4th & E St SW,31266,11th & M St NW,W20529,Member
2017-11-15 10:33,2017-11-15 10:54,31266,11th & M St NW,31268,12th & U St NW,W20529,Member
2017-11-15 11:02,2017-11-15 11:14,31268,12th & U St NW,31231,14th & D St NW / Ronald Reagan Building,W20529,Member
2017-11-16 9:27,2017-11-16 9:38,31123,14th & Girard St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
2017-11-16 9:57,2017-11-16 10:18,31200,Massachusetts Ave & Dupont Circle NW,31236,37th & O St NW / Georgetown University,W20529,Casual
2017-11-16 17:25,2017-11-16 17:44,31236,37th & O St NW / Georgetown University,31112,Harvard St & Adams Mill Rd NW,W20529,Member
2017-11-17 13:45,2017-11-17 16:36,31112,Harvard St & Adams Mill Rd NW,31296,Columbia & Ontario Rd NW,W20529,Casual
2017-11-17 19:12,2017-11-17 19:31,31296,Columbia & Ontario Rd NW,31627,3rd & M St NE,W20529,Casual
2017-11-18 10:49,2017-11-18 10:55,31627,3rd & M St NE,31505,Eckington Pl & Q St NE,W20529,Member
2017-11-18 11:32,2017-11-18 11:44,31505,Eckington Pl & Q St NE,31228,8th & H St NW,W20529,Member
2017-11-18 18:09,2017-11-18 18:14,31228,8th & H St NW,31251,12th & L St NW,W20529,Member
2017-11-18 18:53,2017-11-18 19:01,31251,12th & L St NW,31232,7th & F St NW / National Portrait Gallery,W20529,Member
2017-11-19 14:15,2017-11-19 14:31,31232,7th & F St NW / National Portrait Gallery,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
2017-11-20 21:19,2017-11-20 21:41,31200,Massachusetts Ave & Dupont Circle NW,31259,20th St & Virginia Ave NW,W20529,Member
2017-11-20 22:39,2017-11-20 23:23,31259,20th St & Virginia Ave NW,31259,20th St & Virginia Ave NW,W20529,Casual
2017-11-21 17:44,2017-11-21 17:51,31259,20th St & Virginia Ave NW,31250,20th & L St NW,W20529,Member
2017-11-21 18:20,2017-11-21 18:34,31250,20th & L St NW,31602,Park Rd & Holmead Pl NW,W20529,Member
2017-11-21 18:47,2017-11-21 18:51,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W20529,Member
2017-11-21 19:07,2017-11-21 19:14,31401,14th St & Spring Rd NW,31402,14th St Heights / 14th & Crittenden St NW,W20529,Member
2017-11-21 20:04,2017-11-21 20:08,31402,14th St Heights / 14th & Crittenden St NW,31401,14th St & Spring Rd NW,W20529,Member
2017-11-21 21:55,2017-11-21 22:08,31401,14th St & Spring Rd NW,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
2017-11-23 23:47,2017-11-23 23:57,31307,3000 Connecticut Ave NW / National Zoo,31200,Massachusetts Ave & Dupont Circle NW,W20529,Casual
2017-11-24 6:41,2017-11-24 6:53,31200,Massachusetts Ave & Dupont Circle NW,31229,New Hampshire Ave & T St NW,W20529,Member
2017-11-24 6:58,2017-11-24 7:33,31229,New Hampshire Ave & T St NW,31226,34th St & Wisconsin Ave NW,W20529,Member
2017-11-26 12:25,2017-11-26 12:41,31226,34th St & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W20529,Casual
2017-11-27 5:29,2017-11-27 5:54,31225,C & O Canal & Wisconsin Ave NW,31602,Park Rd & Holmead Pl NW,W20529,Member
2017-11-27 6:06,2017-11-27 6:11,31602,Park Rd & Holmead Pl NW,31119,14th & Belmont St NW,W20529,Member
2017-11-27 6:45,2017-11-27 6:55,31119,14th & Belmont St NW,31275,New Hampshire Ave & 24th St NW,W20529,Member
2017-11-27 9:39,2017-11-27 9:47,31275,New Hampshire Ave & 24th St NW,31259,20th St & Virginia Ave NW,W20529,Member
2017-11-27 11:09,2017-11-27 11:20,31259,20th St & Virginia Ave NW,31229,New Hampshire Ave & T St NW,W20529,Member
2017-11-27 11:31,2017-11-27 11:35,31229,New Hampshire Ave & T St NW,31234,20th & O St NW / Dupont South,W20529,Member
2017-11-27 12:07,2017-11-27 12:12,31234,20th & O St NW / Dupont South,31229,New Hampshire Ave & T St NW,W20529,Member
2017-11-27 12:21,2017-11-27 12:26,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W20529,Member
2017-11-27 17:26,2017-11-27 17:36,31212,21st & M St NW,31263,10th & K St NW,W20529,Member
2017-11-27 18:11,2017-11-27 18:29,31263,10th & K St NW,31615,6th & H St NE,W20529,Member
2017-11-27 19:36,2017-11-27 19:47,31615,6th & H St NE,31522,2nd St & Seaton Pl NE,W20529,Member
2017-11-27 20:12,2017-11-27 20:17,31522,2nd St & Seaton Pl NE,31627,3rd & M St NE,W20529,Member
2017-11-28 8:18,2017-11-28 8:41,31627,3rd & M St NE,31205,21st & I St NW,W20529,Member
2017-11-28 19:17,2017-11-28 19:34,31205,21st & I St NW,31295,Potomac & M St NW,W20529,Member
2017-11-28 19:34,2017-11-28 19:46,31295,Potomac & M St NW,31050,Barton St & 10th St N,W20529,Member
2017-11-28 21:27,2017-11-28 21:39,31050,Barton St & 10th St N,31035,N Quincy St & Glebe Rd,W20529,Member
2017-11-29 7:47,2017-11-29 7:51,31035,N Quincy St & Glebe Rd,31024,Virginia Square Metro / N Monroe St & 9th St N,W20529,Member
2017-11-29 9:50,2017-11-29 9:53,31024,Virginia Square Metro / N Monroe St & 9th St N,31037,Ballston Metro / N Stuart & 9th St N,W20529,Member
2017-11-29 17:03,2017-11-29 17:16,31037,Ballston Metro / N Stuart & 9th St N,31022,Clarendon Metro / Wilson Blvd & N Highland St,W20529,Member
2017-11-29 18:19,2017-11-29 18:23,31022,Clarendon Metro / Wilson Blvd & N Highland St,31040,Fairfax Dr & Kenmore St,W20529,Member
2017-12-01 17:03,2017-12-01 17:10,31040,Fairfax Dr & Kenmore St,31079,Lee Hwy & N Cleveland St,W20529,Member
2017-12-02 7:55,2017-12-02 8:01,31079,Lee Hwy & N Cleveland St,31017,Wilson Blvd & N Uhle St,W20529,Member
2017-12-02 9:16,2017-12-02 9:21,31017,Wilson Blvd & N Uhle St,31079,Lee Hwy & N Cleveland St,W20529,Member
