Date,AAPL,IBM,CSCO,MSFT
2005-10-31,57.590003,81.879997,17.450001,25.700001
2005-11-01,57.500001,81.589996,17.48,25.959999
2005-11-02,59.949997,81.059998,17.629999,26.459999
2005-11-03,61.85,82.870003,17.51,26.440001
2005-11-04,61.149998,83,17.870001,26.66
2005-11-07,60.229997,83.610001,17.85,27.01
2005-11-08,59.900002,83.150002,17.860001,27.049999
2005-11-09,60.110001,82.839996,17.75,26.959999
2005-11-10,61.179998,83.989998,17.15,27.09
2005-11-11,61.54,84.550003,17.469999,27.280001
2005-11-14,61.449998,84.360001,17.35,27.370001
2005-11-15,62.279997,85.529999,17.27,27.5
2005-11-16,64.949998,86.540001,17.219999,27.74
2005-11-17,64.520001,86.889999,17.370001,27.969999
2005-11-18,64.560002,87.769997,17.02,28.07
2005-11-21,64.959998,87.290001,17.059999,28.16
2005-11-22,66.52,87.989998,17.280001,27.91
2005-11-23,67.110001,88.800003,17.440001,27.92
2005-11-25,69.339998,88.800003,17.549999,27.76
2005-11-28,69.659999,89.110001,17.48,27.75
2005-11-29,68.100003,89.099998,17.51,27.68
2005-11-30,67.819997,88.900002,17.540001,27.68
2005-12-01,71.600003,89.209999,17.690001,27.889999
2005-12-02,72.63,88.650002,17.639999,28.01
2005-12-05,71.820002,88.43,17.5,27.85
2005-12-06,74.049999,89.139999,17.559999,27.690001
2005-12-07,73.949997,88.720001,17.780001,27.75
2005-12-08,74.08,87.5,17.639999,27.690001
2005-12-09,74.329999,86.970001,17.549999,27.709999
2005-12-12,74.909999,85.959999,17.52,27.450001
2005-12-13,74.98,83.709999,17.5,27.129999
2005-12-14,72.009999,83.129997,17.690001,27.09
2005-12-15,72.180003,83.529999,17.76,26.92
2005-12-16,71.109999,83.370003,17.52,26.9
2005-12-19,71.379998,82.760002,17.469999,26.83
2005-12-20,72.110002,82.480003,17.309999,26.860001
2005-12-21,73.5,83.120003,17.209999,26.73
2005-12-22,74.019999,83.220001,17.290001,26.59
2005-12-23,73.350003,83.480003,17.35,26.639999
2005-12-27,74.229997,82.989998,17.25,26.459999
2005-12-28,73.570002,83.040001,17.290001,26.389999
2005-12-29,71.45,82.400002,17.24,26.27
2005-12-30,71.890003,82.199997,17.120001,26.15
2006-01-03,74.750002,82.059998,17.450001,26.84
2006-01-04,74.97,81.949997,17.85,26.969999
2006-01-05,74.38,82.5,18.35,26.99
2006-01-06,76.299997,84.949997,18.77,26.91
2006-01-09,76.049998,83.730003,19.059999,26.860001
2006-01-10,80.860002,84.07,18.969999,27
2006-01-11,83.899998,84.169998,19.4,27.290001
2006-01-12,84.29,83.57,19.200001,27.139999
2006-01-13,85.590003,83.169998,18.92,27.190001
2006-01-17,84.710003,83,18.68,26.99
2006-01-18,82.489999,83.800003,18.73,26.83
2006-01-19,79.04,83.089996,19.02,27.02
2006-01-20,76.089999,81.360001,18.51,26.41
2006-01-23,77.670002,81.410004,18.16,26.35
2006-01-24,76.039998,80.849998,18.33,26.280001
2006-01-25,74.200003,80.910004,18.57,26.4
2006-01-26,72.33,80.720001,18.58,26.5
2006-01-27,72.03,81.019997,18.780001,27.790001
2006-01-30,75.000001,81.629997,18.889999,28
2006-01-31,75.509999,81.300003,18.57,28.15
2006-02-01,75.419997,81.940002,18.58,28.040001
2006-02-02,72.100001,81.230003,18.370001,27.68
2006-02-03,71.850002,79.970001,18.15,27.540001
2006-02-06,67.299998,79.510002,17.83,27.17
2006-02-07,67.599998,79.849998,18.09,26.940001
2006-02-08,68.809999,80.800003,19.4,26.91
2006-02-09,64.949998,80.400002,19.549999,26.66
2006-02-10,67.309999,81.330002,19.76,26.690001
2006-02-13,64.709999,80.440002,19.549999,26.389999
2006-02-14,67.639999,81.089996,19.700001,26.65
2006-02-15,69.220002,80.849998,19.940001,26.879999
2006-02-16,70.57,80.910004,19.98,26.809999
2006-02-17,70.29,80.709999,19.860001,26.700001
2006-02-21,69.079999,80.5,19.58,26.540001
2006-02-22,71.319997,81.349998,19.67,26.719999
2006-02-23,71.75,80.199997,19.719999,26.66
